#[Time s] [1.000 GHz] [1.010 GHz] [1.020 GHz] [1.030 GHz] [1.040 GHz] [1.051 GHz] [1.061 GHz] [1.071 GHz] [1.081 GHz] [1.091 GHz] [1.101 GHz] [1.111 GHz] [1.121 GHz] [1.131 GHz] [1.141 GHz] [1.152 GHz] [1.162 GHz] [1.172 GHz] [1.182 GHz] [1.192 GHz] [1.202 GHz] [1.212 GHz] [1.222 GHz] [1.232 GHz] [1.242 GHz] [1.253 GHz] [1.263 GHz] [1.273 GHz] [1.283 GHz] [1.293 GHz] [1.303 GHz] [1.313 GHz] [1.323 GHz] [1.333 GHz] [1.343 GHz] [1.354 GHz] [1.364 GHz] [1.374 GHz] [1.384 GHz] [1.394 GHz] [1.404 GHz] [1.414 GHz] [1.424 GHz] [1.434 GHz] [1.444 GHz] [1.455 GHz] [1.465 GHz] [1.475 GHz] [1.485 GHz] [1.495 GHz] [1.505 GHz] [1.515 GHz] [1.525 GHz] [1.535 GHz] [1.545 GHz] [1.556 GHz] [1.566 GHz] [1.576 GHz] [1.586 GHz] [1.596 GHz] [1.606 GHz] [1.616 GHz] [1.626 GHz] [1.636 GHz] [1.646 GHz] [1.657 GHz] [1.667 GHz] [1.677 GHz] [1.687 GHz] [1.697 GHz] [1.707 GHz] [1.717 GHz] [1.727 GHz] [1.737 GHz] [1.747 GHz] [1.758 GHz] [1.768 GHz] [1.778 GHz] [1.788 GHz] [1.798 GHz] [1.808 GHz] [1.818 GHz] [1.828 GHz] [1.838 GHz] [1.848 GHz] [1.859 GHz] [1.869 GHz] [1.879 GHz] [1.889 GHz] [1.899 GHz] [1.909 GHz] [1.919 GHz] [1.929 GHz] [1.939 GHz] [1.949 GHz] [1.960 GHz] [1.970 GHz] [1.980 GHz] [1.990 GHz] [2.000 GHz] 
0.000 0.446 1.043 0.184 0.130 0.931 0.012 1.145 0.036 0.248 0.427 0.023 0.273 1.926 0.995 1.114 0.030 1.916 0.054 0.005 0.157 0.193 2.105 1.252 0.611 2.289 0.120 0.095 1.320 1.640 1.193 0.685 0.000 0.920 0.000 2.229 0.001 1.152 0.930 0.001 0.866 0.237 0.066 0.017 0.942 0.877 0.020 0.000 0.105 0.078 0.011 0.052 2.096 0.006 0.098 0.164 0.794 1.198 0.799 1.101 1.063 0.066 0.138 0.162 0.088 0.481 0.234 0.966 0.135 0.110 0.024 0.249 0.622 0.031 0.231 0.025 1.488 0.693 6.903 0.092 0.001 0.002 0.006 2.339 0.352 0.465 0.851 0.605 0.347 0.038 3.878 0.321 0.017 0.181 0.014 0.587 0.001 1.347 0.576 0.099 0.014 
0.010 0.629 0.142 0.505 1.386 0.247 1.049 0.214 0.352 0.445 0.234 0.004 0.268 0.040 0.243 0.021 0.070 0.052 0.798 0.105 0.007 0.345 0.490 3.186 1.134 0.946 0.000 0.000 0.002 0.103 1.330 0.411 1.460 1.884 0.902 0.065 0.623 0.261 0.004 0.004 1.287 0.463 0.727 0.000 0.253 0.048 0.681 0.035 0.270 1.422 0.325 0.847 0.048 0.182 0.706 2.631 1.401 1.042 1.189 0.357 0.184 0.018 0.069 0.294 0.557 0.004 0.449 0.515 0.103 0.345 0.041 0.776 1.826 1.423 0.089 0.046 0.002 1.016 0.273 0.094 2.113 1.958 0.078 0.005 0.853 0.750 0.909 0.000 0.434 0.017 0.276 3.345 0.152 0.868 0.606 0.044 0.141 0.992 0.621 0.884 0.175 
0.020 0.684 0.116 0.036 0.074 0.327 0.269 0.072 0.576 0.289 0.327 0.242 0.038 0.553 0.537 0.176 0.005 0.081 1.557 0.137 1.492 0.003 1.665 0.845 1.975 0.548 0.320 0.129 0.006 0.343 0.001 3.022 1.278 0.156 0.078 4.105 0.004 0.238 1.620 0.087 0.205 0.293 0.935 1.607 0.604 0.924 0.235 1.395 0.037 0.060 0.206 0.750 0.097 0.531 0.714 0.237 0.339 1.795 0.822 1.588 0.632 0.077 3.476 0.343 0.332 0.135 0.433 0.636 0.022 0.000 0.038 1.090 0.039 0.384 3.212 0.573 1.153 0.456 0.004 0.581 0.043 0.096 0.002 0.017 0.227 0.154 0.003 2.304 0.924 1.031 0.674 1.711 0.175 0.000 0.082 0.064 0.228 0.373 0.671 0.007 0.065 
0.030 0.076 2.910 0.002 0.224 0.062 1.751 0.862 0.137 1.016 0.061 0.006 0.003 3.157 0.000 0.033 0.485 0.229 0.969 1.072 0.335 1.568 0.398 0.151 0.176 0.136 0.920 1.844 0.457 1.219 0.163 1.511 0.058 0.053 0.006 0.025 1.566 1.016 0.102 0.004 0.019 0.263 0.063 0.255 0.081 0.000 0.683 0.067 0.065 0.549 0.065 0.024 0.063 0.430 2.461 0.057 1.365 0.717 1.054 0.011 0.048 0.839 0.188 1.351 0.341 0.978 0.570 1.174 3.321 0.944 2.254 2.475 0.688 0.051 0.593 0.060 3.119 1.326 0.003 0.325 0.581 2.674 1.202 1.280 1.740 0.705 0.676 0.327 0.043 1.073 0.394 0.161 0.236 1.973 0.159 0.086 1.436 0.008 0.538 0.257 0.274 
0.040 0.081 0.863 0.200 0.440 0.073 0.037 0.008 0.543 1.409 1.805 1.368 0.062 0.000 0.608 0.712 0.547 1.085 0.009 0.501 0.825 0.351 3.902 0.176 0.005 0.042 0.046 2.417 0.026 2.013 0.000 0.000 0.247 0.987 0.034 0.437 0.020 0.087 0.009 0.216 0.255 0.000 0.020 1.029 0.770 0.563 0.732 0.069 1.310 0.038 0.097 0.015 0.488 0.197 0.957 0.123 0.062 0.187 0.028 1.751 0.214 0.612 0.106 1.226 0.065 1.418 0.043 0.424 0.300 0.006 0.232 1.556 0.239 0.230 1.487 0.000 0.797 0.367 0.578 0.061 0.031 0.096 0.306 0.013 0.001 0.206 0.194 3.977 3.357 0.013 0.165 0.636 0.088 1.738 0.002 4.703 1.656 0.210 0.393 0.843 2.079 
0.051 0.047 0.026 0.308 0.349 0.480 0.064 0.478 0.126 0.044 0.011 0.002 0.810 0.420 0.708 2.020 1.103 0.016 0.440 0.069 0.001 0.024 1.197 0.008 2.504 0.638 0.220 0.003 0.674 0.303 0.170 0.939 0.395 0.004 2.484 0.024 0.194 0.068 0.084 0.063 0.016 0.047 1.814 0.538 0.575 0.083 0.000 1.523 0.005 0.148 0.002 0.180 0.136 1.696 0.067 0.304 0.247 1.072 0.209 0.077 0.088 5.132 0.655 0.189 0.004 0.003 0.264 0.135 0.003 0.071 0.469 1.124 0.578 0.209 1.380 0.272 0.396 0.412 0.481 0.785 0.825 0.031 0.088 0.643 0.038 0.800 0.001 0.000 0.536 0.086 0.556 0.472 0.003 0.030 0.037 0.146 1.273 0.000 0.380 2.637 0.163 
0.061 0.853 0.002 0.728 0.480 0.030 0.083 0.005 1.028 0.202 1.188 1.331 0.305 2.571 0.544 1.140 0.950 0.096 0.386 1.497 0.016 0.056 0.336 0.254 0.010 0.010 0.035 0.082 0.361 1.314 0.286 0.470 0.780 1.273 0.052 0.456 0.011 0.261 3.240 0.105 0.230 4.373 0.014 0.013 0.002 0.154 0.296 0.556 1.563 2.400 0.149 0.011 0.004 0.011 0.753 0.019 0.000 0.081 0.503 0.154 0.099 0.835 1.713 0.053 0.224 0.075 0.015 0.182 0.003 2.016 0.340 0.235 0.000 0.042 1.317 0.482 0.682 0.164 0.071 0.057 0.095 0.678 0.005 0.458 2.652 0.075 0.564 0.313 0.162 0.894 0.183 0.769 2.253 0.005 0.694 0.418 0.002 0.230 0.047 0.994 0.006 
0.071 0.075 0.344 2.086 0.295 1.084 0.160 0.322 0.214 1.686 1.012 0.004 0.196 1.312 0.017 0.283 0.483 0.229 0.851 0.481 0.106 0.347 0.009 1.745 0.225 1.106 0.213 0.647 0.530 0.373 0.882 0.516 0.013 0.739 0.483 0.001 0.000 1.345 0.672 1.224 0.046 0.616 0.161 0.083 0.340 0.836 0.017 3.418 0.070 0.017 0.096 0.082 0.299 0.612 0.026 0.006 1.537 0.857 1.174 0.509 0.144 0.772 1.088 2.099 0.546 3.552 0.463 0.580 0.794 0.024 1.550 0.757 0.282 1.635 1.318 0.116 0.372 0.453 0.689 0.276 0.010 2.329 0.056 0.023 0.656 0.336 0.265 1.669 6.863 0.012 0.015 0.637 0.071 0.067 0.456 0.197 0.595 0.777 0.283 0.346 0.018 
0.081 0.102 0.210 0.134 0.079 0.262 0.521 0.195 0.078 4.318 0.001 1.295 0.091 2.338 0.797 0.072 0.018 0.949 1.184 0.000 1.223 0.073 0.571 1.051 0.008 0.360 1.436 0.072 0.230 0.192 0.172 0.541 0.228 0.006 0.003 0.343 0.485 0.103 1.991 0.735 1.238 0.099 0.040 0.055 0.000 0.639 0.945 0.045 0.015 0.204 0.781 0.032 1.349 0.000 0.002 0.738 0.867 0.906 0.277 0.071 1.033 0.100 0.542 0.090 0.050 0.000 0.285 0.166 0.158 6.492 0.000 1.158 0.414 0.037 1.137 0.087 1.154 0.001 0.185 0.001 1.072 0.026 0.295 0.164 0.016 1.010 0.320 1.057 0.104 0.009 0.436 0.000 0.000 0.568 0.079 0.356 0.214 0.760 0.585 0.664 0.000 
0.091 0.226 0.453 0.527 0.096 1.902 3.171 0.097 4.195 0.414 0.203 0.119 0.000 1.143 2.569 0.652 0.040 1.871 0.412 0.329 4.578 0.124 1.074 0.159 0.872 0.003 0.092 2.466 0.027 0.561 0.090 0.000 0.029 0.124 0.028 0.318 0.475 0.043 1.633 0.134 0.014 0.902 0.020 0.723 0.786 0.019 6.157 0.114 1.706 1.968 0.437 1.293 5.627 0.744 0.051 0.000 2.304 1.235 0.007 0.119 0.618 0.295 0.116 1.495 0.864 2.560 0.846 0.728 0.246 0.146 0.569 0.000 0.039 1.854 0.585 0.770 0.000 0.446 0.629 0.129 3.447 0.012 0.760 0.072 0.456 0.523 0.402 0.637 0.202 0.409 2.209 0.046 2.958 0.407 0.237 1.332 0.345 0.091 1.969 0.254 0.068 
